"Probe_IDs"	"Symbols"	"Entrez_IDs"	"CHR"	"Ensembl_IDs"	"Start.Pos"	"End.Pos"
"1"	"ILMN_1343291"	"EEF1A1P5"	NA	"9"	"ENSG00000196205"	"133019486"	"133020874"
"2"	"ILMN_1651228"	"RPS28"	"6234"	"19"	"ENSG00000233927"	"8321158"	"8323340"
"3"	"ILMN_1651229"	"IPO13"	"9670"	"1"	"ENSG00000117408"	"43946950"	"43968022"
"4"	"ILMN_1651237"	"CDT1"	"81620"	"16"	"ENSG00000167513"	"88803789"	"88809258"
"5"	"ILMN_1651254"	"LPP"	"4026"	"3"	"ENSG00000145012"	"188153284"	"188890671"
"6"	"ILMN_1651262"	"HNRNPAB"	"3182"	"5"	"ENSG00000197451"	"178204533"	"178211163"
"7"	"ILMN_1651268"	"BORCS5"	"118426"	"12"	"ENSG00000165714"	"12357078"	"12471233"
"8"	"ILMN_1651278"	"SNIP1"	"79753"	"1"	"ENSG00000163877"	"37534449"	"37554293"
"9"	"ILMN_1651282"	"COL17A1"	"1308"	"10"	"ENSG00000065618"	"104031286"	"104085880"
"10"	"ILMN_1651285"	"BCL6B"	"255877"	"17"	"ENSG00000161940"	"7023050"	"7030290"
"11"	"ILMN_1651286"	"GRHL1"	"29841"	"2"	"ENSG00000134317"	"9951693"	"10002277"
"12"	"ILMN_1651315"	"HMG20B"	"10362"	"19"	"ENSG00000064961"	"3572777"	"3579088"
"13"	"ILMN_1651336"	"MLYCD"	"23417"	"16"	"ENSG00000103150"	"83899115"	"83951445"
"14"	"ILMN_1651346"	"TMED7-TICAM2"	"100302736"	"5"	"ENSG00000251201"	"115578642"	"115626161"
"15"	"ILMN_1651347"	"SERTAD2"	"9792"	"2"	"ENSG00000179833"	"64631621"	"64751005"
"16"	"ILMN_1651354"	"SPP1"	"6696"	"4"	"ENSG00000118785"	"87975650"	"87983426"
"17"	"ILMN_1651358"	"HBE1"	"3046"	"11"	"ENSG00000213931"	"5268345"	"5505652"
"18"	"ILMN_1651364"	"PCBD2"	"84105"	"5"	"ENSG00000132570"	"134905120"	"135007959"
"19"	"ILMN_1651378"	"AUP1"	"550"	"2"	"ENSG00000115307"	"74526645"	"74529760"
